"","Opération","Division","Description","Designation","TypeUnité","TypeProduit","NombreUnité","StatutADV","Superficie","PrixUnitaire","PrixTotal","NuméroClient","Client","Dossier","TypeDocument","DésignationTypeDeDocument","Création","Vers1","Vers2","Vers3","TotalVersement","VersRegularis","TropPerçuRéglé","TropPerçuNonRéglé","ResteàPayer","TotalAvances"
"6532","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,100,1200,120000,"11058207","Ediva Youthed","21637907","ZVL ","Vente libre         ",2018-11-28,36000,36000,0,72000,0,0,0,48000,72000
"6382","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,100,1200,120000,"11053410","Carena Marunchak","21634559","ZVL ","Vente libre         ",2018-09-30,36000,36000,24000,96000,0,0,0,24000,96000
"2572","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,70,920,64400,"10628856","Nomi Wash","21251435","ZVL ","Vente libre         ",2014-01-28,19600,19600,19600,58800,0,0,0,5600,58800
"422","180149.01",1803,"Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,2,111,1850,205350,"11026352","Kurtis Twede","21618139","ZVL ","Vente libre         ",2017-12-08,51337.5,0,0,51337.5,0,0,0,154012.5,51337.5
"2431","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,70,840,58800,"10574631","Rafi O'Neal","21221984","ZVL ","Vente libre         ",2013-09-18,15400,15400,0,30800,0,0,0,28000,30800
"6743","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",1,2,150,2050,307500,"11055756","Hedwiga Hoggan","21636053","ZVL ","Vente libre         ",2018-10-22,92250,92250,123000,307500,0,0,0,0,307500
"4224","180403.03",1803,"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,3,150,1714,257100,"10636005","Darline Albin","21357038","ZVL ","Vente libre         ",2015-08-11,70000,0,0,70000,0,0,0,187100,70000
"2700","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,70,800,56000,"10625056","Marielle Cristoforo","21226980","ZVL ","Vente libre         ",2015-04-09,14000,14000,14000,42000,0,0,0,14000,42000
"5851","180454.01",1804,"Jerada-Figuig                 ","Operation de ZAE TOUISSIT               ","LOT ACTIVITÉ COMMERCIALE ","LOTS ACTIVITE COMM A USAGE INDUSTRIEL   ",1,2,138,400,55200,"11075638","Kerrie Pleager","23193324","ZAF ","Vente Affectation   ",2020-05-06,41400,13800,0,55200,0,0,0,0,55200
"5905","180454.01",1804,"Jerada-Figuig                 ","Operation de ZAE TOUISSIT               ","LOT ACTIVITÉ COMMERCIALE ","LOTS ACTIVITE COMM A USAGE INDUSTRIEL   ",1,2,232,400,92800,"11075638","Leena Duncanson","23193390","ZAF ","Vente Affectation   ",2020-05-06,69600,23200,0,92800,0,0,0,0,92800
"414","180149.01",1803,"Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,2,109,1800,196200,"10990854","Fenelia Bedenham","21634376","ZVL ","Vente libre         ",2018-09-28,30000,0,0,30000,0,0,0,166200,30000
